Phoneme,Start Time,End Time
t,397.23,397.24
ey,397.24,397.25
k,397.25,397.26
ih,397.26,397.27
ng,397.27,397.28
ah,397.45,397.55
b,397.55,397.6
aw,397.6,397.65
t,397.65,397.73
dh,397.75,397.83
ih,397.83,397.91
s,397.91,398.0
t,398.22,398.28
aa,398.28,398.35
p,398.35,398.45
ih,398.45,398.52
k,398.52,398.64
s,398.87,399.02
ow,399.02,399.36
ih,399.6,399.69
z,399.69,399.74
ih,399.74,399.82
t,399.82,399.93
b,399.94,400.04
eh,400.04,400.12
r,400.12,400.26
ao,400.27,400.36
r,400.36,400.42
p,400.42,400.55
eh,400.55,400.56
r,400.56,400.57
ay,400.57,400.58
n,401.39,401.48
ow,401.48,401.54
ih,401.54,401.6
t,401.6,401.61
s,401.61,401.65
w,401.67,401.8
ah,401.8,401.88
n,401.88,401.98
ao,402.0,402.19
r,402.19,402.26
dh,402.26,402.31
iy,402.31,402.39
ah,402.41,402.5
dh,402.5,402.59
er,402.59,402.71
s,402.77,402.85
ow,402.85,403.03
k,403.65,403.78
aa,403.78,403.85
n,403.85,403.92
t,403.92,403.98
eh,403.98,404.06
k,404.06,404.13
s,404.13,404.14
t,404.14,404.15
ih,404.16,404.17
z,404.17,404.18
ey,404.33,404.47
b,404.58,404.66
ih,404.66,404.8
g,404.8,404.94
b,404.96,405.04
ih,405.04,405.13
g,405.13,405.22
p,405.24,405.35
aa,405.35,405.46
r,405.46,405.49
t,405.49,405.58
ah,405.6,405.69
v,405.69,405.74
ah,405.79,405.87
n,405.87,405.94
d,405.94,405.98
er,405.98,406.03
s,406.03,406.08
t,406.08,406.17
ae,406.17,406.24
n,406.24,406.28
d,406.28,406.35
ih,406.35,406.4
ng,406.4,406.5
w,406.73,406.84
ah,406.84,406.87
t,406.87,406.92
dh,406.92,406.93
ae,406.93,406.96
t,406.96,407.04
p,407.04,407.1
er,407.1,407.16
s,407.16,407.22
ah,407.22,407.26
n,407.26,407.31
z,407.31,407.37
t,407.37,407.45
ao,407.45,407.54
k,407.54,407.59
ih,407.59,407.63
ng,407.63,407.67
iy,408.15,408.3
v,408.3,408.38
ih,408.38,408.41
n,408.41,408.47
ih,408.47,408.53
f,408.53,408.6
y,408.6,408.67
uw,408.67,408.77
aa,408.77,408.94
r,408.94,409.0
l,409.06,409.19
ih,409.19,409.25
p,409.25,409.34
r,409.34,409.39
iy,409.39,409.4
d,409.4,409.41
ih,409.41,409.49
ng,409.49,409.61
dh,409.63,409.7
ae,409.7,409.74
t,409.74,409.83
p,409.83,409.89
er,409.89,409.98
s,409.98,410.05
ah,410.05,410.09
n,410.09,410.16
eh,410.19,410.27
z,410.27,410.3
w,410.3,410.37
eh,410.37,410.43
l,410.43,410.58
s,411.08,411.19
ow,411.19,411.27
dh,411.27,411.33
eh,411.33,411.38
r,411.38,411.41
aa,411.41,411.51
r,411.51,411.58
ah,411.59,411.66
n,411.66,411.77
ah,411.77,411.86
m,411.86,411.91
b,411.91,411.96
er,411.96,412.05
ah,412.05,412.07
v,412.07,412.23
d,412.36,412.44
ih,412.44,412.51
f,412.51,412.59
r,412.59,412.6
ah,412.6,412.66
n,412.66,412.7
t,412.7,412.74
p,412.75,412.81
iy,412.81,412.9
p,412.9,412.97
ah,412.97,413.04
l,413.04,413.13
dh,413.13,413.18
ae,413.18,413.22
t,413.22,413.29
ay,413.29,413.4
jh,413.4,413.5
ah,413.5,413.56
s,413.56,413.6
t,413.6,413.66
k,413.66,413.85
ae,413.85,413.95
n,413.95,414.01
t,414.01,414.05
ah,414.16,414.17
n,414.17,414.22
d,414.22,414.26
er,414.26,414.32
s,414.32,414.39
t,414.39,414.48
ae,414.48,414.58
n,414.58,414.61
d,414.61,414.71
f,414.71,414.75
er,414.75,414.84
m,415.46,415.53
iy,415.53,415.62
ay,415.76,416.04
m,416.04,416.1
jh,416.11,416.2
ah,416.2,416.27
s,416.27,416.33
t,416.33,416.36
n,416.46,416.6
aa,416.6,416.68
t,416.68,416.72
ey,416.74,416.88
b,416.88,416.91
ah,416.91,416.96
l,416.96,417.03
t,417.03,417.16
uw,417.16,417.44
ah,417.69,417.78
n,417.78,417.84
d,417.84,417.88
er,417.88,417.9
s,417.9,417.95
t,417.95,418.05
ae,418.05,418.15
n,418.15,418.17
d,418.17,418.22
w,418.23,418.3
ah,418.3,418.35
t,418.35,418.4
dh,418.4,418.43
ey,418.43,418.51
er,418.51,418.55
s,418.57,418.67
ey,418.67,418.81
ih,418.81,418.83
ng,418.83,418.94
f,419.31,419.42
ao,419.42,419.47
r,419.47,419.52
ih,419.52,419.57
g,419.57,419.62
z,419.62,419.68
ae,419.68,419.77
m,419.77,419.86
p,419.86,419.93
ah,419.93,419.97
l,419.97,420.12
p,420.39,420.46
iy,420.46,420.55
p,420.55,420.63
ah,420.63,420.68
l,420.68,420.76
w,420.77,420.83
ih,420.83,420.88
th,420.88,420.94
th,420.99,421.16
ih,421.16,421.22
n,421.22,421.4
l,421.74,421.75
ih,421.75,421.76
p,421.76,421.84
s,421.84,421.93
p,422.74,422.81
iy,422.81,422.87
p,422.87,422.93
ah,422.93,422.96
l,422.96,423.04
hh,423.04,423.11
uw,423.11,423.22
p,424.33,424.4
iy,424.4,424.46
p,424.46,424.52
ah,424.52,424.55
l,424.55,424.6
hh,424.6,424.68
uw,424.68,424.77
hh,424.77,424.78
ae,424.78,424.85
v,424.85,424.94
n,424.94,425.04
ow,425.04,425.13
ih,425.13,425.21
k,425.21,425.3
s,425.3,425.35
p,425.35,425.4
r,425.4,425.45
eh,425.45,425.53
sh,425.53,425.63
ah,425.63,425.7
n,425.7,425.76
z,425.76,425.85
ao,425.89,425.99
n,425.99,426.08
dh,426.08,426.12
eh,426.12,426.2
r,426.2,426.26
f,426.26,426.4
ey,426.4,426.48
s,426.48,426.58
ih,426.58,426.67
z,426.67,426.92
p,427.39,427.42
iy,427.42,427.49
p,427.49,427.53
ah,427.53,427.56
l,427.56,427.57
hh,427.57,427.59
uw,427.59,427.65
t,427.65,427.7
ao,427.7,427.75
k,427.75,427.81
t,427.81,427.84
uw,427.84,427.9
f,427.9,427.97
ae,427.97,428.04
s,428.04,428.14
t,428.14,428.32
p,428.68,428.74
iy,428.74,428.82
p,428.82,428.89
ah,428.89,428.96
l,428.96,429.04
w,429.04,429.12
ih,429.12,429.22
th,429.22,429.26
b,429.27,429.38
ih,429.38,429.47
g,429.47,429.56
ao,430.53,430.68
r,430.68,430.83
b,430.84,431.01
ih,431.01,431.24
r,431.24,431.33
d,431.33,431.42
z,431.42,431.66
p,431.98,432.05
iy,432.05,432.11
p,432.11,432.16
ah,432.16,432.21
l,432.21,432.27
w,432.27,432.32
ih,432.32,432.35
th,432.35,432.36
s,432.39,432.48
t,432.48,432.52
r,432.52,432.59
ao,432.59,432.72
ng,432.72,432.85
ae,432.92,433.05
k,433.05,433.15
s,433.15,433.23
eh,433.23,433.31
n,433.31,433.35
t,433.35,433.4
s,433.4,433.53
l,434.64,434.74
ay,434.74,434.78
k,434.78,434.86
m,434.86,434.92
iy,434.92,435.03
p,435.77,435.78
iy,435.78,435.86
p,435.86,435.98
ah,435.98,435.99
l,435.99,436.02
hh,436.02,436.1
uw,436.1,436.16
l,436.25,436.39
ae,436.39,436.58
f,436.58,436.64
aw,436.89,436.93
t,436.93,436.94
l,437.06,437.07
aw,437.07,437.14
d,437.14,437.15
w,437.15,437.16
ay,437.16,437.17
l,437.17,437.22
dh,437.22,437.27
eh,437.27,437.31
r,437.31,437.37
s,437.43,437.5
p,437.5,437.6
iy,437.6,437.72
k,437.72,437.8
ih,437.8,437.88
ng,437.88,438.02
w,438.76,438.77
ah,438.77,438.78
t,438.78,438.79
ay,439.35,439.36
w,439.36,439.42
ah,439.42,439.44
z,439.44,439.47
s,439.47,439.56
ey,439.56,439.63
ih,439.63,439.67
ng,439.67,439.73
ih,439.73,439.79
z,439.79,439.86
p,439.86,439.94
iy,439.94,440.0
p,440.0,440.05
ah,440.05,440.07
l,440.07,440.11
hh,440.11,440.19
uw,440.19,440.27
l,440.28,440.39
ae,440.39,440.46
f,440.46,440.6
aw,440.66,440.75
t,440.75,440.76
l,440.77,440.86
aw,440.86,440.93
d,440.93,440.94
w,441.1,441.27
ay,441.27,441.33
l,441.33,441.39
dh,441.39,441.44
eh,441.44,441.5
r,441.5,441.57
s,441.57,441.65
p,441.65,441.73
iy,441.73,441.81
k,441.81,441.85
ih,441.85,441.91
ng,441.91,442.01
ow,442.76,443.03
ah,443.11,443.2
n,443.2,443.29
d,443.29,443.36
n,446.22,446.34
aa,446.34,446.5
dh,447.18,447.28
eh,447.28,447.31
r,447.31,447.35
aa,447.35,447.44
r,447.44,447.51
n,447.56,447.61
ah,447.61,447.66
m,447.66,447.71
b,447.71,447.76
er,447.76,447.78
ah,447.78,447.79
v,447.79,447.87
th,447.87,447.95
ih,447.95,448.03
ng,448.03,448.09
z,448.09,448.1
dh,448.11,448.19
ae,448.19,448.26
t,448.26,448.31
y,448.32,448.42
uw,448.42,448.5
sh,448.5,448.56
uh,448.56,448.61
d,448.61,448.65
b,448.66,448.72
iy,448.72,448.8
ah,448.8,448.88
w,448.88,448.96
eh,448.96,448.97
r,448.97,448.98
ah,449.11,449.19
v,449.19,449.28
ih,449.35,449.45
f,449.45,449.55
y,449.55,449.6
uw,449.6,449.67
aa,449.67,449.73
r,449.73,449.8
s,449.82,449.88
p,449.88,449.95
iy,449.95,450.01
k,450.01,450.05
ih,450.05,450.1
ng,450.1,450.12
t,450.12,450.2
uw,450.2,450.28
s,450.29,450.36
ah,450.36,450.42
m,450.42,450.5
w,450.5,450.52
ah,450.52,450.54
n,450.54,450.6
hh,450.6,450.66
uw,450.66,450.72
ih,450.72,450.78
z,450.78,450.85
d,450.85,450.91
eh,450.91,450.99
f,450.99,451.08
ao,451.08,451.12
r,451.12,451.13
hh,451.14,451.21
aa,451.21,451.26
r,451.26,451.28
d,451.28,451.31
ah,451.31,451.35
v,451.35,451.42
hh,451.42,451.48
iy,451.48,451.55
r,451.55,451.62
ih,451.62,451.67
ng,451.67,451.83
w,451.88,451.95
eh,451.95,452.0
n,452.0,452.06
ih,452.06,452.07
t,452.07,452.12
k,452.12,452.19
ah,452.19,452.26
m,452.26,452.34
z,452.34,452.35
t,452.39,452.51
uw,452.51,452.83
dh,453.08,453.22
iy,453.22,453.59
k,453.65,453.73
aa,453.73,453.81
n,453.81,453.87
s,453.87,453.96
eh,453.96,454.01
p,454.01,454.06
t,454.06,454.07
ah,454.12,454.19
v,454.19,454.28
l,454.33,454.47
ih,454.47,454.53
p,454.53,454.6
r,454.6,454.66
iy,454.66,454.71
d,454.71,454.74
ih,454.74,454.75
ng,454.75,454.9
f,455.31,455.45
ao,455.45,455.5
r,455.5,455.56
ih,455.56,455.59
g,455.59,455.67
z,455.67,455.73
ae,455.73,455.84
m,455.84,455.91
p,455.91,455.99
ah,455.99,456.02
l,456.02,456.16
d,456.48,456.57
ow,456.57,456.64
n,456.64,456.73
s,456.75,456.87
t,456.87,456.96
ae,456.96,457.12
n,457.12,457.22
d,457.22,457.32
w,457.74,457.85
ih,457.85,457.92
dh,457.92,457.96
ah,457.96,458.02
l,458.02,458.1
ay,458.1,458.19
t,458.19,458.28
b,458.28,458.32
ih,458.32,458.4
hh,458.4,458.5
ay,458.5,458.6
n,458.6,458.62
d,458.62,458.73
y,458.73,458.81
uw,458.81,458.97
d,459.25,459.4
ow,459.4,459.45
n,459.45,459.54
t,459.54,459.61
ao,459.61,459.73
k,459.73,459.82
w,459.82,459.88
ih,459.88,459.91
th,459.91,459.97
y,459.97,460.05
ao,460.05,460.15
r,460.15,460.18
m,460.24,460.32
aw,460.32,460.4
th,460.4,460.47
f,460.47,460.62
uh,460.62,460.69
l,460.69,461.02
w,461.15,461.22
eh,461.22,461.25
l,461.25,461.3
y,461.3,461.32
uw,461.32,461.35
sh,461.35,461.39
uh,461.39,461.44
d,461.44,461.51
n,461.51,461.57
eh,461.57,461.64
v,461.64,461.71
er,461.71,461.75
t,461.75,461.83
ao,461.83,461.89
k,461.89,461.95
w,461.95,462.01
ih,462.01,462.02
th,462.02,462.09
y,462.09,462.12
uh,462.12,462.13
r,462.13,462.18
m,462.18,462.22
aw,462.22,462.23
th,462.23,462.24
f,462.4,462.47
uh,462.47,462.51
l,462.51,462.57
eh,462.62,462.7
n,462.7,462.77
iy,462.77,462.82
w,462.82,462.9
ey,462.9,462.96
z,462.96,463.06
d,463.39,463.49
ow,463.49,463.56
n,463.56,463.61
t,463.61,463.63
s,463.63,463.67
p,463.67,463.74
iy,463.74,463.81
k,463.81,463.88
t,463.88,463.98
uw,463.98,464.07
f,464.07,464.15
ae,464.15,464.27
s,464.27,464.38
t,464.38,464.42
d,464.66,464.74
ow,464.74,464.8
n,464.8,464.86
t,464.86,464.9
s,464.9,464.96
p,464.96,465.03
iy,465.03,465.1
k,465.1,465.19
t,465.19,465.31
uw,465.31,465.51
s,465.54,465.74
l,465.74,465.9
ow,465.9,465.97
l,465.97,466.1
iy,466.1,466.27
d,466.68,466.78
ow,466.78,466.86
n,466.86,466.93
t,466.93,466.98
t,466.99,467.1
ao,467.1,467.24
k,467.24,467.45
w,467.52,467.63
ih,467.63,467.69
th,467.69,467.73
y,467.74,467.82
uh,467.82,467.88
r,467.88,467.94
hh,467.94,468.06
ae,468.06,468.22
n,468.22,468.34
z,468.34,468.44
ow,468.52,468.65
v,468.65,468.75
er,468.75,468.85
y,468.88,468.94
uh,468.94,469.0
r,469.0,469.16
m,469.22,469.37
aw,469.37,469.45
th,469.45,469.64
m,469.92,470.02
ey,470.02,470.07
k,470.07,470.13
sh,470.13,470.2
uh,470.2,470.27
r,470.27,470.35
y,470.35,470.4
uw,470.4,470.53
f,470.54,470.78
ey,470.78,470.91
s,470.91,471.09
dh,471.15,471.25
ae,471.25,471.33
t,471.33,471.46
l,471.46,471.54
ih,471.54,471.61
p,471.61,471.67
r,471.71,471.81
iy,471.81,471.86
d,471.86,471.87
er,471.87,471.88
ih,472.5,472.57
n,472.57,472.63
ah,472.63,472.7
w,472.7,472.81
eh,472.81,472.92
l,472.92,473.0
l,473.01,473.11
ih,473.11,473.16
t,473.16,473.2
ih,473.24,473.32
n,473.32,473.41
v,473.41,473.5
ay,473.5,473.62
r,473.62,473.63
ah,473.63,473.65
n,473.65,473.7
m,473.7,473.71
ah,473.71,473.75
n,473.75,473.78
t,473.78,473.83
eh,473.86,473.95
z,473.95,473.97
w,473.97,474.07
eh,474.07,474.14
l,474.14,474.29
d,474.73,474.82
ow,474.82,474.89
n,474.89,474.94
t,474.94,474.98
g,474.98,475.02
ow,475.02,475.1
ih,475.1,475.13
n,475.13,475.17
t,475.17,475.23
uw,475.23,475.28
dh,475.28,475.34
ah,475.34,475.39
n,475.39,475.46
eh,475.46,475.52
k,475.52,475.59
s,475.59,475.72
r,475.72,475.8
uw,475.8,475.91
m,475.91,476.14
w,476.22,476.38
eh,476.38,476.5
n,476.5,476.79
y,476.87,476.98
uh,476.98,477.05
r,477.05,477.13
t,477.16,477.28
ao,477.28,477.4
k,477.4,477.48
ih,477.48,477.56
ng,477.56,477.71
hh,477.86,477.92
w,477.92,477.99
eh,477.99,478.05
r,478.05,478.11
p,478.13,478.19
aa,478.19,478.28
s,478.28,478.32
ah,478.32,478.4
b,478.4,478.42
ah,478.42,478.48
l,478.48,478.52
t,478.52,478.62
r,478.62,478.73
ay,478.73,478.81
n,478.81,478.9
aa,478.9,478.92
t,478.92,478.99
t,478.99,479.01
uw,479.01,479.1
s,479.1,479.21
p,479.21,479.29
iy,479.29,479.37
k,479.37,479.44
ih,479.47,479.58
n,479.58,479.68
ey,479.69,479.81
n,479.81,479.95
oy,479.95,480.11
z,480.11,480.2
iy,480.2,480.27
ih,480.27,480.33
n,480.33,480.38
v,480.38,480.47
ay,480.47,480.58
r,480.58,480.59
ah,480.59,480.62
n,480.62,480.67
m,480.67,480.68
ah,480.68,480.73
n,480.73,480.79
t,480.79,480.86
dh,481.44,481.45
ah,481.45,481.46
d,481.46,481.53
ey,481.53,481.75
ih,481.82,481.89
t,481.89,481.94
s,481.94,481.98
s,481.99,482.07
t,482.07,482.12
ih,482.12,482.17
l,482.17,482.27
t,482.27,482.33
r,482.33,482.37
ay,482.37,482.42
ng,482.42,482.46
t,482.46,482.53
uw,482.53,482.59
p,482.59,482.66
ih,482.66,482.74
k,482.74,482.79
ah,482.79,482.84
p,482.84,482.93
d,482.95,483.0
ih,483.0,483.07
f,483.07,483.15
r,483.15,483.16
ah,483.16,483.22
n,483.22,483.27
t,483.27,483.32
k,483.32,483.4
l,483.4,483.5
uw,483.5,483.62
z,483.62,483.75
b,484.1,484.11
ih,484.11,484.12
k,484.12,484.13
ah,484.13,484.16
z,484.16,484.19
n,484.32,484.36
aa,484.36,484.42
t,484.42,484.48
iy,484.48,484.65
z,484.65,484.73
iy,484.73,484.86
d,485.21,485.3
ow,485.3,485.4
n,485.4,485.47
t,485.47,485.52
ih,485.54,485.63
g,485.63,485.72
z,485.72,485.81
ae,485.81,485.92
jh,485.92,486.05
er,486.05,486.13
ey,486.13,486.18
t,486.18,486.27
y,486.27,486.33
ao,486.33,486.46
r,486.46,486.55
l,486.68,486.76
ih,486.76,486.82
p,486.82,486.9
s,486.9,487.13
m,487.27,487.5
uw,487.5,487.61
v,487.61,487.62
m,487.62,487.63
ah,487.63,487.64
n,487.64,487.65
t,487.65,487.66
d,489.13,489.21
ow,489.21,489.29
n,489.29,489.4
sh,489.4,489.54
aw,489.54,489.67
t,489.67,489.98
ah,490.51,490.63
n,490.63,490.72
d,490.72,490.77
d,490.78,490.86
ow,490.86,490.94
n,490.94,491.0
t,491.0,491.05
s,491.05,491.21
p,491.21,491.29
ih,491.29,491.33
t,491.33,491.61
d,492.06,492.18
ow,492.18,492.27
n,492.27,492.37
t,492.37,492.41
s,492.5,492.63
t,492.63,492.73
ae,492.73,492.85
n,492.85,492.93
d,492.93,493.01
t,493.04,493.18
uw,493.18,493.34
k,493.38,493.52
l,493.52,493.62
ow,493.62,493.72
s,493.72,493.87
t,493.92,494.01
uw,494.01,494.26
dh,494.36,494.45
ah,494.45,494.55
l,494.59,494.66
ih,494.66,494.73
p,494.73,494.79
r,494.98,494.99
iy,494.99,495.0
d,495.0,495.01
er,495.01,495.12
b,496.16,496.23
ih,496.23,496.34
r,496.34,496.45
d,496.45,496.53
z,496.53,496.66
aa,496.71,497.02
r,497.02,497.16
n,497.32,497.44
aa,497.44,497.5
t,497.5,497.57
s,497.57,497.64
ow,497.64,497.72
ah,498.59,498.67
n,498.67,498.69
d,498.69,498.77
f,498.77,498.84
ay,498.84,498.92
n,498.92,498.97
ah,498.97,498.98
l,498.98,499.03
iy,499.03,499.12
d,499.14,499.23
ow,499.23,499.31
n,499.31,499.36
t,499.36,499.41
b,499.41,499.45
iy,499.45,499.53
ah,499.53,499.57
f,499.57,499.68
eh,499.68,499.74
n,499.74,499.81
d,499.81,499.87
ih,499.87,499.94
d,499.94,500.01
ih,500.02,500.1
f,500.1,500.19
y,500.19,500.24
uw,500.24,500.32
aa,500.32,500.4
r,500.4,500.51
ae,500.59,500.76
s,500.76,500.9
k,500.9,500.92
t,500.92,500.93
t,501.0,501.11
uw,501.11,501.21
r,501.28,501.29
iy,501.29,501.34
p,501.34,501.45
iy,501.45,501.55
t,501.55,501.73
l,501.89,501.98
ay,501.98,502.03
k,502.03,502.11
ay,502.11,502.18
s,502.18,502.25
eh,502.25,502.35
d,502.35,502.49
l,502.7,502.78
ih,502.78,502.84
p,502.84,502.85
n,503.45,503.5
aa,503.5,503.57
t,503.57,503.58
ah,503.61,503.7
s,503.7,503.79
ah,503.79,503.86
l,503.86,503.93
uw,503.93,503.99
sh,503.99,504.06
ah,504.06,504.12
n,504.12,504.19
ih,504.19,504.25
t,504.25,504.3
s,504.3,504.36
p,504.36,504.46
aa,504.46,504.54
r,504.54,504.58
t,504.58,504.64
ah,504.64,504.71
v,504.71,504.82
m,505.0,505.09
eh,505.09,505.17
n,505.17,505.23
iy,505.23,505.38
m,505.54,505.62
eh,505.62,505.68
n,505.68,505.73
iy,505.73,505.85
k,505.94,506.07
l,506.07,506.14
uw,506.14,506.2
z,506.2,506.45
ah,506.79,506.86
n,506.86,506.92
d,506.92,506.96
d,506.96,507.0
ow,507.0,507.06
n,507.06,507.12
f,507.12,507.19
er,507.19,507.26
g,507.26,507.33
eh,507.33,507.4
t,507.4,507.44
dh,507.47,507.53
eh,507.53,507.57
r,507.57,507.58
aa,507.59,507.72
r,507.72,507.81
m,507.83,507.93
eh,507.93,508.0
n,508.0,508.05
iy,508.05,508.11
m,508.11,508.15
eh,508.15,508.2
n,508.2,508.27
iy,508.27,508.35
d,508.35,508.4
ih,508.4,508.47
f,508.47,508.5
r,508.5,508.51
ah,508.51,508.56
n,508.56,508.57
t,508.57,508.62
w,508.62,508.7
ey,508.7,508.8
z,508.8,508.87
ah,508.9,508.99
v,508.99,509.1
k,509.13,509.22
ah,509.22,509.28
m,509.28,509.31
y,509.31,509.34
uw,509.34,509.37
n,509.37,509.41
ah,509.41,509.47
k,509.47,509.57
ey,509.57,509.64
t,509.64,509.65
ih,509.65,509.7
ng,509.7,509.75
w,509.75,509.78
ih,509.78,509.82
th,509.82,509.89
p,509.89,509.91
iy,509.91,509.98
p,509.98,510.03
ah,510.03,510.05
l,510.05,510.11
hh,510.11,510.16
uw,510.16,510.21
aa,510.21,510.32
r,510.32,510.42
d,510.43,510.56
eh,510.56,510.64
f,510.64,510.77
ah,510.83,510.91
n,510.91,510.94
d,510.94,511.0
hh,511.0,511.03
aa,511.03,511.1
r,511.1,511.12
d,511.12,511.15
ah,511.15,511.18
v,511.18,511.26
hh,511.26,511.33
iy,511.33,511.41
r,511.41,511.48
ih,511.48,511.52
ng,511.52,511.65
ay,511.69,511.9
v,511.9,512.02
m,512.09,512.25
eh,512.25,512.31
n,512.31,512.36
sh,512.36,512.44
ah,512.44,512.5
n,512.5,512.58
d,512.58,512.59
dh,512.6,512.66
ae,512.66,512.74
t,512.74,512.82
y,512.82,512.86
uw,512.86,512.94
k,512.94,512.99
ah,512.99,513.05
n,513.05,513.13
ch,513.13,513.25
eh,513.25,513.32
k,513.32,513.35
ih,513.35,513.43
t,513.43,513.47
ih,513.62,513.68
n,513.68,513.72
dh,513.72,513.74
ah,513.74,513.77
d,513.77,513.82
ih,513.82,513.89
s,513.89,513.98
k,513.98,514.03
r,514.03,514.08
ih,514.08,514.11
p,514.11,514.21
sh,514.21,514.29
ah,514.29,514.38
n,514.38,514.52
y,514.68,514.77
uw,514.77,514.84
k,514.84,514.89
ah,514.89,514.95
n,514.95,515.01
f,515.01,515.09
ay,515.09,515.18
n,515.18,515.21
d,515.21,515.25
m,515.27,515.33
ao,515.33,515.38
r,515.38,515.43
ih,515.43,515.48
n,515.48,515.55
f,515.55,515.62
er,515.62,515.65
m,515.65,515.7
ey,515.7,515.76
sh,515.76,515.83
ah,515.83,515.9
n,515.9,515.99
dh,516.0,516.08
eh,516.08,516.19
r,516.19,516.31
ah,516.56,516.64
n,516.64,516.65
d,516.65,516.66
w,516.74,516.84
ay,516.84,516.93
l,516.93,516.94
dh,517.16,517.24
eh,517.24,517.36
r,517.36,517.49
ay,517.88,518.1
er,518.17,518.37
jh,518.37,518.38
y,518.42,518.5
uw,518.5,518.57
t,518.57,518.66
uw,518.66,518.74
l,518.74,518.78
uh,518.78,518.84
k,518.84,518.88
ae,518.88,518.95
t,518.95,519.0
dh,519.0,519.04
ih,519.04,519.09
s,519.09,519.18
v,519.18,519.33
ih,519.33,519.41
d,519.41,519.48
iy,519.48,519.58
ow,519.58,519.71
dh,519.74,519.83
ae,519.83,519.89
t,519.89,519.96
ao,520.13,520.2
l,520.2,520.31
s,520.31,520.39
ow,520.39,520.5
ih,520.54,520.66
m,520.66,520.77
b,520.77,520.82
eh,520.82,520.91
d,520.91,521.0
ih,521.07,521.16
n,521.16,521.23
dh,521.24,521.3
iy,521.3,521.43
p,521.5,521.63
ow,521.63,521.72
s,521.72,521.8
t,521.8,521.88
dh,522.39,522.52
ih,522.52,522.61
s,522.61,522.66
ih,522.66,522.74
z,522.74,522.82
ah,522.89,522.98
g,522.98,523.06
r,523.06,523.13
ey,523.13,523.18
t,523.18,523.24
v,523.24,523.31
ih,523.31,523.37
d,523.37,523.42
iy,523.42,523.47
ow,523.47,523.48
hh,523.48,523.49
w,523.49,523.58
eh,523.58,523.65
r,523.65,523.7
ih,523.71,523.72
t,523.72,523.8
w,523.8,523.81
ih,523.81,523.87
l,523.87,523.88
g,523.91,523.97
ih,523.97,524.03
v,524.03,524.08
y,524.08,524.09
uw,524.09,524.15
ah,524.15,524.16
n,524.16,524.22
ih,524.22,524.28
g,524.28,524.34
z,524.34,524.41
ae,524.41,524.5
m,524.5,524.58
p,524.58,524.64
ah,524.64,524.69
l,524.69,524.72
ah,524.73,524.88
v,524.88,525.01
hh,525.11,525.26
w,525.26,525.42
ah,525.42,525.47
t,525.47,525.5
ih,525.53,525.63
z,525.63,525.66
ih,525.66,525.73
t,525.73,525.81
l,525.81,525.85
ay,525.85,525.93
k,525.93,526.0
t,526.0,526.1
uw,526.1,526.18
l,526.18,526.25
ih,526.25,526.31
p,526.31,526.43
r,526.44,526.49
iy,526.49,526.6
d,526.6,526.68
ih,526.71,526.81
t,526.81,526.87
s,526.87,526.94
d,526.94,527.03
ah,527.03,527.12
n,527.12,527.32
v,527.68,527.87
eh,527.87,527.93
r,527.93,528.01
iy,528.01,528.05
v,528.05,528.14
eh,528.14,528.17
r,528.17,528.21
iy,528.21,528.25
w,528.25,528.32
eh,528.32,528.47
l,528.47,528.54
v,528.57,528.62
eh,528.62,528.65
r,528.65,528.73
iy,528.73,528.79
k,528.79,528.9
r,528.9,528.99
iy,528.99,529.05
ey,529.05,529.11
t,529.11,529.18
ih,529.18,529.25
v,529.25,529.32
f,529.41,529.65
er,529.65,529.73
dh,529.73,529.74
ah,529.74,529.8
m,529.8,529.93
ih,529.96,530.04
t,530.04,530.09
g,530.32,530.38
ih,530.38,530.45
v,530.45,530.47
z,530.47,530.5
y,530.5,530.53
uw,530.53,530.63
ah,530.63,530.68
n,530.68,530.75
ay,530.75,530.82
d,530.82,530.95
iy,530.95,531.07
ah,531.07,531.12
ah,531.12,531.22
v,531.22,531.32
w,531.37,531.56
ah,531.56,531.65
t,531.65,531.71
ih,531.76,531.84
z,531.84,531.9
ih,531.9,531.97
t,531.97,532.07
r,532.27,532.43
iy,532.43,532.52
l,532.52,532.61
iy,532.61,532.69
l,532.69,532.75
ay,532.75,532.83
k,532.83,532.92
t,532.92,533.01
uw,533.01,533.07
l,533.07,533.12
ih,533.12,533.17
p,533.17,533.22
r,533.26,533.34
iy,533.34,533.39
d,533.39,533.49
ih,533.75,533.83
t,533.83,533.89
g,533.89,533.9
ih,533.9,533.96
v,533.96,533.99
z,533.99,534.02
y,534.02,534.03
uw,534.03,534.09
ah,534.09,534.11
n,534.11,534.12
ih,534.12,534.13
g,534.13,534.19
z,534.19,534.25
ae,534.25,534.34
m,534.34,534.41
p,534.41,534.45
ah,534.45,534.47
l,534.47,534.6
p,534.6,534.65
iy,534.65,534.72
p,534.72,534.77
ah,534.77,534.78
l,534.78,534.85
s,534.86,534.93
p,534.93,535.02
iy,535.02,535.1
k,535.1,535.16
ih,535.16,535.23
ng,535.23,535.29
d,535.29,535.33
ih,535.33,535.39
f,535.39,535.45
r,535.45,535.46
ah,535.46,535.49
n,535.49,535.56
t,535.56,535.57
t,535.57,535.63
ay,535.63,535.7
p,535.7,535.71
s,535.71,535.75
ah,535.75,535.8
v,535.8,535.83
p,535.88,535.95
iy,535.95,536.04
p,536.04,536.14
