phoneme,start,end
s,394.36,394.48
ey,394.48,394.49
sh,394.49,394.58
ah,394.58,394.55
n,394.55,394.61
dh,394.949999,395.02
eh,395.02,395.02
n,395.02,395.07
y,395.139999,395.2
uw,395.2,395.24
l,395.24,395.26
k,395.32,395.39
w,395.39,395.39
ih,395.39,395.46
k,395.46,395.43
l,395.43,395.47
iy,395.47,395.48
dh,396.15,396.23
ae,396.23,396.23
t,396.23,396.32
ih,396.71999999999997,396.82
t,396.82,396.76
s,396.76,396.77
ae,396.91999999999996,397.04
k,397.04,396.99
ch,396.99,397.1
l,397.1,397.01
iy,397.01,397.05
t,397.22999999999996,397.24
ey,397.24,397.24
k,397.24,397.25
ih,397.25,397.25
ng,397.25,397.26
ah,397.45,397.55
b,397.55,397.5
aw,397.5,397.6
t,397.6,397.68
dh,397.75,397.83
ih,397.83,397.83
s,397.83,397.92
t,398.22,398.28
aa,398.28,398.29
p,398.29,398.38
ih,398.38,398.36
k,398.36,398.48
s,398.87,399.02
ow,399.02,399.36
ih,399.6,399.69
z,399.69,399.74
ih,399.74,399.82
t,399.82,399.93
b,399.94,400.04
eh,400.04,400.02
r,400.02,400.16
ao,400.27,400.36
r,400.36,400.42
p,400.42,400.55
eh,400.55,400.43
r,400.43,400.44
ay,400.57,400.58
n,401.39,401.48
ow,401.48,401.54
ih,401.54,401.6
t,401.6,401.55
s,401.55,401.59
w,401.67,401.8
ah,401.8,401.75
n,401.75,401.85
ao,402.0,402.19
r,402.19,402.26
dh,402.26,402.31
iy,402.31,402.39
ah,402.41,402.5
dh,402.5,402.5
er,402.5,402.62
s,402.77,402.85
ow,402.85,403.03
k,403.65,403.78
aa,403.78,403.72
n,403.72,403.85
t,403.85,403.78
eh,403.78,403.93
k,403.93,403.85
s,403.85,403.94
t,403.94,403.95
ih,404.16,404.17
z,404.17,404.18
ey,404.33,404.47
b,404.58,404.66
ih,404.66,404.72
g,404.72,404.86
b,404.96,405.04
ih,405.04,405.05
g,405.05,405.14
p,405.24,405.35
aa,405.35,405.35
r,405.35,405.38
t,405.38,405.47
ah,405.599999,405.69
v,405.69,405.74
ah,405.79,405.87
n,405.87,405.86
d,405.86,405.91
er,405.91,405.91
s,405.91,405.96
t,405.96,406.0
ae,406.0,406.03
n,406.03,406.04
d,406.04,406.1
ih,406.1,406.09
ng,406.09,406.19
w,406.73,406.84
ah,406.84,406.76
t,406.76,406.81
dh,406.92,406.93
ae,406.93,406.95
t,406.95,407.03
p,407.04,407.1
er,407.1,407.1
s,407.1,407.16
ah,407.16,407.14
n,407.14,407.21
z,407.21,407.27
t,407.37,407.45
ao,407.45,407.46
k,407.46,407.5
ih,407.5,407.5
ng,407.5,407.54
iy,408.15,408.3
v,408.3,408.23
ih,408.23,408.33
n,408.33,408.39
ih,408.469999,408.53
f,408.53,408.6
y,408.599999,408.67
uw,408.67,408.77
aa,408.77,408.94
r,408.94,409.0
l,409.059999,409.19
ih,409.19,409.12
p,409.12,409.21
r,409.34,409.39
iy,409.39,409.35
d,409.35,409.4
ih,409.4,409.43
ng,409.43,409.55
dh,409.63,409.7
ae,409.7,409.67
t,409.67,409.76
p,409.83,409.89
er,409.89,409.92
s,409.92,409.96
ah,409.96,409.96
n,409.96,410.03
eh,410.19,410.27
z,410.27,410.3
w,410.299999,410.37
eh,410.37,410.36
l,410.36,410.51
s,411.08,411.19
ow,411.19,411.27
dh,411.27,411.33
eh,411.33,411.32
r,411.32,411.35
aa,411.41,411.51
r,411.51,411.58
ah,411.589999,411.66
n,411.66,411.77
ah,411.77,411.75
m,411.75,411.82
b,411.82,411.8
er,411.8,411.89
ah,412.049999,412.07
v,412.07,412.23
d,412.359999,412.44
ih,412.44,412.43
f,412.43,412.52
r,412.52,412.44
ah,412.44,412.58
n,412.58,412.48
t,412.48,412.52
p,412.75,412.81
iy,412.81,412.84
p,412.84,412.88
ah,412.88,412.91
l,412.91,413.0
dh,413.129999,413.18
ae,413.18,413.17
t,413.17,413.24
ay,413.289999,413.4
jh,413.4,413.5
ah,413.5,413.46
s,413.46,413.54
t,413.54,413.6
k,413.66,413.85
ae,413.85,413.76
n,413.76,413.91
t,413.91,413.95
ah,414.16,414.17
n,414.17,414.21
d,414.21,414.21
er,414.21,414.27
s,414.27,414.28
t,414.28,414.36
ae,414.36,414.38
n,414.38,414.39
d,414.39,414.49
f,414.71,414.75
er,414.75,414.84
m,415.46,415.53
iy,415.53,415.62
ay,415.76,416.04
m,416.04,416.1
jh,416.11,416.2
ah,416.2,416.18
s,416.18,416.26
t,416.26,416.29
n,416.46,416.6
aa,416.6,416.54
t,416.54,416.58
ey,416.74,416.88
b,416.88,416.77
ah,416.77,416.93
l,416.93,417.0
t,417.03,417.16
uw,417.16,417.44
ah,417.69,417.78
n,417.78,417.75
d,417.75,417.82
er,417.82,417.77
s,417.77,417.87
t,417.87,417.87
ae,417.87,417.97
n,417.97,417.89
d,417.89,417.94
w,418.23,418.3
ah,418.3,418.28
t,418.28,418.33
dh,418.4,418.43
ey,418.43,418.51
er,418.51,418.55
s,418.57,418.67
ey,418.67,418.71
ih,418.71,418.69
ng,418.69,418.8
f,419.31,419.42
ao,419.42,419.36
r,419.36,419.41
ih,419.52,419.57
g,419.57,419.57
z,419.57,419.63
ae,419.63,419.66
m,419.66,419.72
p,419.72,419.73
ah,419.73,419.76
l,419.76,419.91
p,420.39,420.46
iy,420.46,420.48
p,420.48,420.54
ah,420.54,420.53
l,420.53,420.61
w,420.77,420.83
ih,420.83,420.82
th,420.82,420.88
th,420.99,421.16
ih,421.16,421.05
n,421.05,421.23
l,421.74,421.75
ih,421.75,421.75
p,421.75,421.83
s,421.83,421.92
p,422.74,422.81
iy,422.81,422.8
p,422.8,422.87
ah,422.87,422.83
l,422.83,422.91
hh,423.04,423.11
uw,423.11,423.22
p,424.33,424.4
iy,424.4,424.39
p,424.39,424.46
ah,424.46,424.42
l,424.42,424.47
hh,424.599999,424.68
uw,424.68,424.77
hh,424.77,424.78
ae,424.78,424.84
v,424.84,424.93
n,424.94,425.04
ow,425.04,425.13
ih,425.13,425.21
k,425.21,425.22
s,425.22,425.26
p,425.26,425.27
r,425.27,425.31
eh,425.31,425.35
sh,425.35,425.41
ah,425.41,425.42
n,425.42,425.47
z,425.47,425.56
ao,425.889999,425.99
n,425.99,426.08
dh,426.08,426.12
eh,426.12,426.16
r,426.16,426.22
f,426.259999,426.4
ey,426.4,426.34
s,426.34,426.5
ih,426.5,426.43
z,426.43,426.68
p,427.389999,427.42
iy,427.42,427.46
p,427.46,427.46
ah,427.46,427.49
l,427.49,427.5
hh,427.57,427.59
uw,427.59,427.65
t,427.65,427.7
ao,427.7,427.7
k,427.7,427.76
t,427.809999,427.84
uw,427.84,427.9
f,427.9,427.97
ae,427.97,427.97
s,427.97,428.07
t,428.07,428.25
p,428.679999,428.74
iy,428.74,428.76
p,428.76,428.81
ah,428.81,428.83
l,428.83,428.91
w,429.04,429.12
ih,429.12,429.14
th,429.14,429.18
b,429.27,429.38
ih,429.38,429.36
g,429.36,429.45
ao,430.529999,430.68
r,430.68,430.83
b,430.84,431.01
ih,431.01,431.07
r,431.07,431.1
d,431.1,431.16
z,431.16,431.4
p,431.98,432.05
iy,432.05,432.04
p,432.04,432.1
ah,432.1,432.09
l,432.09,432.15
w,432.27,432.32
ih,432.32,432.3
th,432.3,432.31
s,432.39,432.48
t,432.48,432.43
r,432.43,432.55
ao,432.55,432.56
ng,432.56,432.69
ae,432.92,433.05
k,433.05,433.02
s,433.02,433.13
eh,433.13,433.1
n,433.1,433.17
t,433.17,433.15
s,433.15,433.28
l,434.64,434.74
ay,434.74,434.68
k,434.68,434.76
m,434.86,434.92
iy,434.92,435.03
p,435.77,435.78
iy,435.78,435.85
p,435.85,435.9
ah,435.9,435.86
l,435.86,435.89
hh,436.02,436.1
uw,436.1,436.16
l,436.25,436.39
ae,436.39,436.44
f,436.44,436.5
aw,436.89,436.93
t,436.93,436.94
l,437.06,437.07
aw,437.07,437.13
d,437.13,437.14
w,437.15,437.16
ay,437.16,437.16
l,437.16,437.21
dh,437.21999999999997,437.27
eh,437.27,437.26
r,437.26,437.32
s,437.43,437.5
p,437.5,437.53
iy,437.53,437.62
k,437.62,437.61
ih,437.61,437.7
ng,437.7,437.84
w,438.76,438.77
ah,438.77,438.77
t,438.77,438.78
ay,439.35,439.36
w,439.36,439.42
ah,439.42,439.38
z,439.38,439.41
s,439.47,439.56
ey,439.56,439.54
ih,439.54,439.6
ng,439.6,439.66
ih,439.73,439.79
z,439.79,439.86
p,439.86,439.94
iy,439.94,439.92
p,439.92,439.99
ah,439.99,439.94
l,439.94,439.98
hh,440.11,440.19
uw,440.19,440.27
l,440.28,440.39
ae,440.39,440.35
f,440.35,440.49
aw,440.66,440.75
t,440.75,440.76
l,440.77,440.86
aw,440.86,440.84
d,440.84,440.85
w,441.099999,441.27
ay,441.27,441.16
l,441.16,441.22
dh,441.389999,441.44
eh,441.44,441.45
r,441.45,441.52
s,441.57,441.65
p,441.65,441.65
iy,441.65,441.73
k,441.73,441.69
ih,441.69,441.79
ng,441.79,441.89
ow,442.76,443.03
ah,443.11,443.2
n,443.2,443.2
d,443.2,443.27
n,446.219999,446.34
aa,446.34,446.5
dh,447.179999,447.28
eh,447.28,447.21
r,447.21,447.25
aa,447.349999,447.44
r,447.44,447.51
n,447.559999,447.61
ah,447.61,447.61
m,447.61,447.66
b,447.66,447.66
er,447.66,447.68
ah,447.78,447.79
v,447.79,447.87
th,447.87,447.95
ih,447.95,447.95
ng,447.95,448.01
z,448.01,448.02
dh,448.109999,448.19
ae,448.19,448.18
t,448.18,448.23
y,448.32,448.42
uw,448.42,448.5
sh,448.5,448.56
uh,448.56,448.55
d,448.55,448.59
b,448.66,448.72
iy,448.72,448.8
ah,448.799999,448.88
w,448.88,448.88
eh,448.88,448.89
r,448.89,448.9
ah,449.109999,449.19
v,449.19,449.28
ih,449.35,449.45
f,449.45,449.55
y,449.549999,449.6
uw,449.6,449.67
aa,449.67,449.73
r,449.73,449.8
s,449.82,449.88
p,449.88,449.89
iy,449.89,449.94
k,449.94,449.93
ih,449.93,449.99
ng,449.99,450.01
t,450.119999,450.2
uw,450.2,450.28
s,450.29,450.36
ah,450.36,450.35
m,450.35,450.44
w,450.44,450.37
ah,450.37,450.46
n,450.46,450.52
hh,450.6,450.66
uw,450.66,450.72
ih,450.72,450.78
z,450.78,450.85
d,450.85,450.91
eh,450.91,450.93
f,450.93,451.02
ao,451.08,451.12
r,451.12,451.13
hh,451.14,451.21
aa,451.21,451.19
r,451.19,451.23
d,451.23,451.26
ah,451.31,451.35
v,451.35,451.42
hh,451.42,451.48
iy,451.48,451.49
r,451.49,451.55
ih,451.55,451.54
ng,451.54,451.7
w,451.88,451.95
eh,451.95,451.93
n,451.93,451.99
ih,452.06,452.07
t,452.07,452.12
k,452.12,452.19
ah,452.19,452.19
m,452.19,452.27
z,452.27,452.28
t,452.39,452.51
uw,452.51,452.83
dh,453.08,453.22
iy,453.22,453.59
k,453.65,453.73
aa,453.73,453.73
n,453.73,453.79
s,453.79,453.82
eh,453.82,453.84
p,453.84,453.87
t,453.87,453.88
ah,454.12,454.19
v,454.19,454.28
l,454.33,454.47
ih,454.47,454.39
p,454.39,454.46
r,454.6,454.66
iy,454.66,454.65
d,454.65,454.69
ih,454.69,454.66
ng,454.66,454.81
f,455.31,455.45
ao,455.45,455.36
r,455.36,455.42
ih,455.56,455.59
g,455.59,455.64
z,455.64,455.65
ae,455.65,455.75
m,455.75,455.72
p,455.72,455.83
ah,455.83,455.75
l,455.75,455.89
d,456.48,456.57
ow,456.57,456.55
n,456.55,456.64
s,456.75,456.87
t,456.87,456.84
ae,456.84,457.03
n,457.03,456.94
d,456.94,457.04
w,457.74,457.85
ih,457.85,457.81
dh,457.81,457.85
ah,457.96,458.02
l,458.02,458.1
ay,458.1,458.11
t,458.11,458.2
b,458.28,458.32
ih,458.32,458.36
hh,458.36,458.42
ay,458.42,458.46
n,458.46,458.44
d,458.44,458.55
y,458.73,458.81
uw,458.81,458.97
d,459.25,459.4
ow,459.4,459.3
n,459.3,459.39
t,459.54,459.61
ao,459.61,459.66
k,459.66,459.75
w,459.82,459.88
ih,459.88,459.85
th,459.85,459.91
y,459.969999,460.05
ao,460.05,460.07
r,460.07,460.1
m,460.24,460.32
aw,460.32,460.32
th,460.32,460.39
f,460.469999,460.62
uh,460.62,460.54
l,460.54,460.87
w,461.15,461.22
eh,461.22,461.18
l,461.18,461.23
y,461.3,461.32
uw,461.32,461.35
sh,461.349999,461.39
uh,461.39,461.4
d,461.4,461.47
n,461.509999,461.57
eh,461.57,461.58
v,461.58,461.64
er,461.64,461.68
t,461.75,461.83
ao,461.83,461.81
k,461.81,461.87
w,461.95,462.01
ih,462.01,461.96
th,461.96,462.03
y,462.09,462.12
uh,462.12,462.1
r,462.1,462.15
m,462.179999,462.22
aw,462.22,462.19
th,462.19,462.2
f,462.4,462.47
uh,462.47,462.44
l,462.44,462.5
eh,462.62,462.7
n,462.7,462.69
iy,462.69,462.75
w,462.75,462.77
ey,462.77,462.81
z,462.81,462.91
d,463.389999,463.49
ow,463.49,463.46
n,463.46,463.54
t,463.54,463.56
s,463.63,463.67
p,463.67,463.7
iy,463.7,463.74
k,463.74,463.81
t,463.88,463.98
uw,463.98,464.07
f,464.07,464.15
ae,464.15,464.19
s,464.19,464.26
t,464.26,464.3
d,464.66,464.74
ow,464.74,464.72
n,464.72,464.8
t,464.8,464.84
s,464.9,464.96
p,464.96,464.97
iy,464.97,465.03
k,465.03,465.12
t,465.19,465.31
uw,465.31,465.51
s,465.54,465.74
l,465.74,465.7
ow,465.7,465.81
l,465.81,465.83
iy,465.83,466.0
d,466.68,466.78
ow,466.78,466.76
n,466.76,466.85
t,466.85,466.9
t,466.99,467.1
ao,467.1,467.13
k,467.13,467.34
w,467.52,467.63
ih,467.63,467.58
th,467.58,467.62
y,467.74,467.82
uh,467.82,467.8
r,467.8,467.86
hh,467.940001,468.06
ae,468.06,468.1
n,468.1,468.18
z,468.18,468.28
ow,468.52,468.65
v,468.65,468.62
er,468.62,468.72
y,468.88,468.94
uh,468.94,468.94
r,468.94,469.1
m,469.22,469.37
aw,469.37,469.3
th,469.3,469.49
m,469.92,470.02
ey,470.02,469.97
k,469.97,470.03
sh,470.13,470.2
uh,470.2,470.2
r,470.2,470.28
y,470.35,470.4
uw,470.4,470.53
f,470.54,470.78
ey,470.78,470.67
s,470.67,470.85
dh,471.15,471.25
ae,471.25,471.23
t,471.23,471.36
l,471.46,471.54
ih,471.54,471.53
p,471.53,471.59
r,471.71,471.81
iy,471.81,471.76
d,471.76,471.82
er,471.82,471.83
ih,472.5,472.57
n,472.57,472.63
ah,472.63,472.7
w,472.7,472.81
eh,472.81,472.81
l,472.81,472.89
l,473.01,473.11
ih,473.11,473.06
t,473.06,473.1
ih,473.24,473.32
n,473.32,473.33
v,473.33,473.41
ay,473.41,473.45
r,473.45,473.42
ah,473.42,473.47
n,473.47,473.47
m,473.47,473.48
ah,473.48,473.51
n,473.51,473.51
t,473.51,473.56
eh,473.86,473.95
z,473.95,473.97
w,473.97,474.07
eh,474.07,474.04
l,474.04,474.19
d,474.73,474.82
ow,474.82,474.8
n,474.8,474.87
t,474.87,474.91
g,474.98,475.02
ow,475.02,475.1
ih,475.1,475.13
n,475.13,475.14
t,475.14,475.19
uw,475.19,475.24
dh,475.28,475.34
ah,475.34,475.39
n,475.39,475.46
eh,475.46,475.45
k,475.45,475.53
s,475.53,475.66
r,475.72,475.8
uw,475.8,475.83
m,475.83,476.06
w,476.22,476.38
eh,476.38,476.34
n,476.34,476.63
y,476.87,476.98
uh,476.98,476.94
r,476.94,477.02
t,477.16,477.28
ao,477.28,477.28
k,477.28,477.36
ih,477.36,477.36
ng,477.36,477.51
hh,477.86,477.92
w,477.92,477.93
eh,477.93,477.98
r,477.98,478.04
p,478.13,478.19
aa,478.19,478.22
s,478.22,478.23
ah,478.23,478.3
b,478.3,478.25
ah,478.25,478.36
l,478.36,478.4
t,478.52,478.62
r,478.62,478.63
ay,478.63,478.71
n,478.809999,478.9
aa,478.9,478.83
t,478.83,478.9
t,478.99,479.01
uw,479.01,479.1
s,479.099999,479.21
p,479.21,479.18
iy,479.18,479.29
k,479.29,479.36
ih,479.469999,479.58
n,479.58,479.68
ey,479.69,479.81
n,479.809999,479.95
oy,479.95,479.97
z,479.97,480.04
iy,480.04,480.11
ih,480.27,480.33
n,480.33,480.32
v,480.32,480.42
ay,480.42,480.43
r,480.43,480.43
ah,480.43,480.46
n,480.46,480.48
m,480.48,480.47
ah,480.47,480.53
n,480.53,480.53
t,480.53,480.6
dh,481.44,481.45
ah,481.45,481.46
d,481.46,481.53
ey,481.53,481.75
ih,481.82,481.89
t,481.89,481.87
s,481.87,481.91
s,481.99,482.07
t,482.07,482.04
ih,482.04,482.12
l,482.12,482.22
t,482.27,482.33
r,482.33,482.31
ay,482.31,482.38
ng,482.38,482.42
t,482.46,482.53
uw,482.53,482.59
p,482.589999,482.66
ih,482.66,482.67
k,482.67,482.72
ah,482.79,482.84
p,482.84,482.93
d,482.95,483.0
ih,483.0,483.02
f,483.02,483.08
r,483.08,483.03
ah,483.03,483.14
n,483.14,483.08
t,483.08,483.13
k,483.32,483.4
l,483.4,483.42
uw,483.42,483.52
z,483.52,483.65
b,484.1,484.11
ih,484.11,484.11
k,484.11,484.12
ah,484.12,484.14
z,484.14,484.17
n,484.32,484.36
aa,484.36,484.38
t,484.38,484.44
iy,484.48,484.65
z,484.65,484.56
iy,484.56,484.69
d,485.209999,485.3
ow,485.3,485.31
n,485.31,485.37
t,485.37,485.42
ih,485.539999,485.63
g,485.63,485.63
z,485.63,485.72
ae,485.72,485.74
jh,485.74,485.85
er,485.85,485.82
ey,485.82,485.9
t,485.9,485.99
y,486.27,486.33
ao,486.33,486.4
r,486.4,486.49
l,486.68,486.76
ih,486.76,486.74
p,486.74,486.84
s,486.84,487.07
m,487.27,487.5
uw,487.5,487.38
v,487.38,487.51
m,487.51,487.39
ah,487.39,487.52
n,487.52,487.4
t,487.4,487.41
d,489.13,489.21
ow,489.21,489.21
n,489.21,489.32
sh,489.4,489.54
aw,489.54,489.53
t,489.53,489.84
ah,490.51,490.63
n,490.63,490.6
d,490.6,490.65
d,490.78,490.86
ow,490.86,490.86
n,490.86,490.92
t,490.92,490.97
s,491.05,491.21
p,491.21,491.13
ih,491.13,491.25
t,491.25,491.53
d,492.06,492.18
ow,492.18,492.15
n,492.15,492.28
t,492.28,492.32
s,492.5,492.63
t,492.63,492.6
ae,492.6,492.75
n,492.75,492.68
d,492.68,492.76
t,493.04,493.18
uw,493.18,493.34
k,493.38,493.52
l,493.52,493.48
ow,493.48,493.62
s,493.62,493.77
t,493.92,494.01
uw,494.01,494.26
dh,494.36,494.45
ah,494.45,494.55
l,494.59,494.66
ih,494.66,494.66
p,494.66,494.72
r,494.97999999999996,494.99
iy,494.99,494.99
d,494.99,495.0
er,495.0,495.11
b,496.16,496.23
ih,496.23,496.27
r,496.27,496.34
d,496.34,496.35
z,496.35,496.48
aa,496.71,497.02
r,497.02,497.16
n,497.32,497.44
aa,497.44,497.38
t,497.38,497.45
s,497.57,497.64
ow,497.64,497.72
ah,498.59,498.67
n,498.67,498.61
d,498.61,498.69
f,498.77,498.84
ay,498.84,498.85
n,498.85,498.89
ah,498.89,498.86
l,498.86,498.94
iy,498.94,499.03
d,499.139999,499.23
ow,499.23,499.22
n,499.22,499.28
t,499.28,499.33
b,499.41,499.45
iy,499.45,499.53
ah,499.53,499.57
f,499.57,499.64
eh,499.64,499.63
n,499.63,499.71
d,499.71,499.69
ih,499.69,499.78
d,499.78,499.85
ih,500.02,500.1
f,500.1,500.19
y,500.19,500.24
uw,500.24,500.32
aa,500.32,500.4
r,500.4,500.51
ae,500.589999,500.76
s,500.76,500.73
k,500.73,500.78
t,500.78,500.79
t,501.0,501.11
uw,501.11,501.21
r,501.28,501.29
iy,501.29,501.33
p,501.33,501.4
iy,501.4,501.43
t,501.43,501.61
l,501.889999,501.98
ay,501.98,501.94
k,501.94,502.02
ay,502.109999,502.18
s,502.18,502.25
eh,502.25,502.28
d,502.28,502.42
l,502.699999,502.78
ih,502.78,502.76
p,502.76,502.77
n,503.449999,503.5
aa,503.5,503.52
t,503.52,503.53
ah,503.609999,503.7
s,503.699999,503.79
ah,503.79,503.77
l,503.77,503.86
uw,503.86,503.83
sh,503.83,503.93
ah,503.93,503.89
n,503.89,503.96
ih,504.190001,504.25
t,504.25,504.24
s,504.24,504.3
p,504.36,504.46
aa,504.46,504.44
r,504.44,504.5
t,504.5,504.56
ah,504.64,504.71
v,504.71,504.82
m,505.0,505.09
eh,505.09,505.08
n,505.08,505.15
iy,505.15,505.3
m,505.54,505.62
eh,505.62,505.6
n,505.6,505.67
iy,505.67,505.79
k,505.94,506.07
l,506.07,506.01
uw,506.01,506.13
z,506.13,506.38
ah,506.79,506.86
n,506.86,506.85
d,506.85,506.89
d,506.96,507.0
ow,507.0,507.02
n,507.02,507.08
f,507.12,507.19
er,507.19,507.19
g,507.19,507.26
eh,507.26,507.26
t,507.26,507.3
dh,507.47,507.53
eh,507.53,507.51
r,507.51,507.52
aa,507.59,507.72
r,507.72,507.81
m,507.83,507.93
eh,507.93,507.9
n,507.9,507.98
iy,507.98,508.04
m,508.11,508.15
eh,508.15,508.16
n,508.16,508.22
iy,508.22,508.3
d,508.35,508.4
ih,508.4,508.42
f,508.42,508.43
r,508.43,508.43
ah,508.43,508.48
n,508.48,508.44
t,508.44,508.49
w,508.62,508.7
ey,508.7,508.72
z,508.72,508.79
ah,508.9,508.99
v,508.99,509.1
k,509.13,509.22
ah,509.22,509.19
m,509.19,509.25
y,509.25,509.22
uw,509.22,509.28
n,509.28,509.26
ah,509.26,509.34
k,509.34,509.36
ey,509.36,509.41
t,509.41,509.37
ih,509.37,509.46
ng,509.46,509.51
w,509.75,509.78
ih,509.78,509.79
th,509.79,509.86
p,509.89,509.91
iy,509.91,509.96
p,509.96,509.96
ah,509.96,509.98
l,509.98,510.04
hh,510.11,510.16
uw,510.16,510.21
aa,510.21,510.32
r,510.32,510.42
d,510.43,510.56
eh,510.56,510.51
f,510.51,510.64
ah,510.83,510.91
n,510.91,510.86
d,510.86,510.92
hh,511.0,511.03
aa,511.03,511.07
r,511.07,511.05
d,511.05,511.08
ah,511.15,511.18
v,511.18,511.26
hh,511.26,511.33
iy,511.33,511.34
r,511.34,511.4
ih,511.4,511.38
ng,511.38,511.51
ay,511.69,511.9
v,511.9,512.02
m,512.09,512.25
eh,512.25,512.15
n,512.15,512.3
sh,512.3,512.23
ah,512.23,512.36
n,512.36,512.31
d,512.31,512.32
dh,512.599999,512.66
ae,512.66,512.68
t,512.68,512.76
y,512.82,512.86
uw,512.86,512.94
k,512.94,512.99
ah,512.99,513.0
n,513.0,513.08
ch,513.13,513.25
eh,513.25,513.2
k,513.2,513.23
ih,513.349999,513.43
t,513.43,513.47
ih,513.62,513.68
n,513.68,513.72
dh,513.719999,513.74
ah,513.74,513.77
d,513.77,513.82
ih,513.82,513.84
s,513.84,513.91
k,513.91,513.89
r,513.89,513.96
ih,513.96,513.92
p,513.92,514.06
sh,514.06,514.0
ah,514.0,514.15
n,514.15,514.29
y,514.679999,514.77
uw,514.77,514.84
k,514.84,514.89
ah,514.89,514.9
n,514.9,514.96
f,515.01,515.09
ay,515.09,515.1
n,515.1,515.12
d,515.12,515.16
m,515.27,515.33
ao,515.33,515.32
r,515.32,515.37
ih,515.429999,515.48
n,515.48,515.5
f,515.5,515.55
er,515.55,515.53
m,515.53,515.6
ey,515.6,515.59
sh,515.59,515.67
ah,515.67,515.66
n,515.66,515.75
dh,516.0,516.08
eh,516.08,516.11
r,516.11,516.23
ah,516.559999,516.64
n,516.64,516.57
d,516.57,516.58
w,516.739999,516.84
ay,516.84,516.83
l,516.83,516.84
dh,517.159999,517.24
eh,517.24,517.28
r,517.28,517.41
ay,517.88,518.1
er,518.17,518.37
jh,518.37,518.38
y,518.42,518.5
uw,518.5,518.57
t,518.57,518.66
uw,518.66,518.74
l,518.74,518.78
uh,518.78,518.8
k,518.8,518.84
ae,518.88,518.95
t,518.95,519.0
dh,519.0,519.04
ih,519.04,519.05
s,519.05,519.14
v,519.179999,519.33
ih,519.33,519.26
d,519.26,519.4
iy,519.4,519.36
ow,519.36,519.49
dh,519.74,519.83
ae,519.83,519.8
t,519.8,519.87
ao,520.129999,520.2
l,520.2,520.24
s,520.24,520.28
ow,520.28,520.39
ih,520.539999,520.66
m,520.66,520.65
b,520.65,520.71
eh,520.71,520.74
d,520.74,520.83
ih,521.07,521.16
n,521.16,521.23
dh,521.24,521.3
iy,521.3,521.43
p,521.5,521.63
ow,521.63,521.59
s,521.59,521.71
t,521.71,521.79
dh,522.389999,522.52
ih,522.52,522.48
s,522.48,522.53
ih,522.66,522.74
z,522.74,522.82
ah,522.889999,522.98
g,522.98,523.06
r,523.06,523.05
ey,523.05,523.11
t,523.11,523.17
v,523.24,523.31
ih,523.31,523.3
d,523.3,523.36
iy,523.36,523.35
ow,523.35,523.36
hh,523.48,523.49
w,523.49,523.57
eh,523.57,523.56
r,523.56,523.61
ih,523.71,523.72
t,523.72,523.8
w,523.8,523.81
ih,523.81,523.86
l,523.86,523.87
g,523.91,523.97
ih,523.97,523.97
v,523.97,524.02
y,524.08,524.09
uw,524.09,524.15
ah,524.15,524.16
n,524.16,524.22
ih,524.22,524.28
g,524.28,524.28
z,524.28,524.35
ae,524.35,524.37
m,524.37,524.43
p,524.43,524.43
ah,524.43,524.48
l,524.48,524.51
ah,524.73,524.88
v,524.88,525.01
hh,525.11,525.26
w,525.26,525.27
ah,525.27,525.31
t,525.31,525.34
ih,525.53,525.63
z,525.63,525.66
ih,525.66,525.73
t,525.73,525.81
l,525.81,525.85
ay,525.85,525.89
k,525.89,525.96
t,526.0,526.1
uw,526.1,526.18
l,526.18,526.25
ih,526.25,526.24
p,526.24,526.36
r,526.44,526.49
iy,526.49,526.55
d,526.55,526.63
ih,526.71,526.81
t,526.81,526.77
s,526.77,526.84
d,526.94,527.03
ah,527.03,527.03
n,527.03,527.23
v,527.68,527.87
eh,527.87,527.74
r,527.74,527.95
iy,527.95,527.99
v,528.05,528.14
eh,528.14,528.08
r,528.08,528.18
iy,528.18,528.22
w,528.25,528.32
eh,528.32,528.4
l,528.4,528.47
v,528.57,528.62
eh,528.62,528.6
r,528.6,528.7
iy,528.7,528.76
k,528.79,528.9
r,528.9,528.88
iy,528.88,528.96
ey,528.96,528.94
t,528.94,529.03
ih,529.03,529.01
v,529.01,529.08
f,529.41,529.65
er,529.65,529.73
dh,529.73,529.74
ah,529.74,529.79
m,529.79,529.92
ih,529.96,530.04
t,530.04,530.09
g,530.32,530.38
ih,530.38,530.39
v,530.39,530.4
z,530.4,530.43
y,530.5,530.53
uw,530.53,530.63
ah,530.63,530.68
n,530.68,530.75
ay,530.75,530.82
d,530.82,530.88
iy,530.88,530.94
ah,530.94,530.99
ah,531.12,531.22
v,531.22,531.32
w,531.37,531.56
ah,531.56,531.46
t,531.46,531.52
ih,531.76,531.84
z,531.84,531.9
ih,531.9,531.97
t,531.97,532.07
r,532.27,532.43
iy,532.43,532.36
l,532.36,532.52
iy,532.52,532.6
l,532.69,532.75
ay,532.75,532.77
k,532.77,532.86
t,532.92,533.01
uw,533.01,533.07
l,533.07,533.12
ih,533.12,533.12
p,533.12,533.17
r,533.259999,533.34
iy,533.34,533.31
d,533.31,533.41
ih,533.75,533.83
t,533.83,533.89
g,533.889999,533.9
ih,533.9,533.95
v,533.95,533.93
z,533.93,533.96
y,534.02,534.03
uw,534.03,534.09
